30	78	Zn	-57483.235	1.944
31	78	Ga	-63705.95	1.903
32	78	Ge	-71862.05	3.536
33	78	As	-72816.94	9.781
34	78	Se	-77025.944	0.179
35	78	Br	-73452.16	3.58
36	78	Kr	-74178.275	0.307
37	78	Rb	-66935.419	3.237
38	78	Sr	-63173.941	7.452
39	78	Y	-52173#	298#
40	78	Zr	-40850#	400#
28	79	Ni	-27570#	600#
29	79	Cu	-41740#	300#
30	79	Zn	-53432.295	2.225
31	79	Ga	-62547.679	1.868
32	79	Ge	-69526.592	37.181
33	79	As	-73636.049	5.328
34	79	Se	-75917.459	0.223
35	79	Br	-76068.035	1.021
36	79	Kr	-74442.257	3.486
37	79	Rb	-70802.985	2.142
38	79	Sr	-65476.889	8.383
39	79	Y	-57817.833	79.177
40	79	Zr	-46770#	300#
41	79	Nb	-31650#	500#
28	80	Ni	-22630#	700#
29	80	Cu	-36200#	400#
30	80	Zn	-51648.612	2.585
31	80	Ga	-59223.667	2.891
32	80	Ge	-69535.306	2.054
33	80	As	-72214.493	3.333
34	80	Se	-77759.457	0.963
35	80	Br	-75888.993	1.012
36	80	Kr	-77893.346	0.691
37	80	Rb	-72175.467	1.863
38	80	Sr	-70311.459	3.464
39	80	Y	-61148.152	6.242
40	80	Zr	-54360#	300#
41	80	Nb	-38420#	400#
29	81	Cu	-31420#	500#
30	81	Zn	-46199.663	5.03
31	81	Ga	-57627.954	3.264
32	81	Ge	-66291.687	2.055
33	81	As	-72533.304	2.644
34	81	Se	-76388.988	0.992
35	81	Br	-77977.034	0.978
36	81	Kr	-77696.181	1.074
37	81	Rb	-75456.67	4.904
38	81	Sr	-71528.125	3.128
39	81	Y	-65712.912	5.405
40	81	Zr	-57460.139	94.081
41	81	Nb	-46360#	400#
42	81	Mo	-31750#	500#
29	82	Cu	-25320#	600#
30	82	Zn	-42313.954	3.074
31	82	Ga	-52930.719	2.426
32	82	Ge	-65415.067	2.241
33	82	As	-70105.419	3.729
34	82	Se	-77593.882	0.467
35	82	Br	-77498.661	0.971
36	82	Kr	-80591.78515	0.00549
37	82	Rb	-76187.803	3.009
38	82	Sr	-76010.053	5.992
39	82	Y	-68064.091	5.499
40	82	Zr	-63631.287	11.178
41	82	Nb	-52090#	300#
42	82	Mo	-40370#	400#
30	83	Zn	-36290#	300#
31	83	Ga	-49257.122	2.613
32	83	Ge	-60976.435	2.427
33	83	As	-69669.323	2.799
34	83	Se	-75340.53	3.036
35	83	Br	-79013.709	3.795
36	83	Kr	-79990.633	0.009
37	83	Rb	-79070.63	2.329
38	83	Sr	-76797.606	6.834
